Date,Close/Last,Volume,Open,High,Low
04/14/2023,$163.22,2618077,$164.24,$164.77,$161.46
04/13/2023,$162.30,2729022,$159.80,$162.42,$158.98
04/12/2023,$159.29,2817645,$163.22,$163.22,$158.8651
04/11/2023,$161.83,2742327,$161.67,$162.58,$160.315
04/10/2023,$161.14,2372633,$158.04,$161.17,$157.80
04/06/2023,$158.83,3754544,$160.63,$160.79,$158.23
04/05/2023,$161.08,2346826,$160.56,$161.60,$160.19
04/04/2023,$162.56,2063730,$165.01,$165.19,$160.83
04/03/2023,$163.78,2704361,$164.11,$165.24,$162.68
03/31/2023,$164.95,3594349,$163.67,$165.08,$161.75
03/30/2023,$162.41,2644815,$163.96,$164.96,$161.81
03/29/2023,$163.59,3884987,$161.70,$164.1871,$161.08
03/28/2023,$159.21,4883678,$162.21,$162.59,$158.19
03/27/2023,$163.12,3974110,$163.95,$164.47,$161.83
03/24/2023,$159.78,2588943,$160.52,$160.705,$157.82
03/23/2023,$162.76,3727735,$162.67,$166.24,$160.82
03/22/2023,$162.75,4367267,$164.63,$166.77,$162.50
03/21/2023,$164.56,3986761,$162.94,$164.57,$161.70
03/20/2023,$158.74,3054323,$158.37,$160.69,$157.57
03/17/2023,$156.52,7447152,$158.22,$158.648,$154.90
03/16/2023,$160.73,4738349,$158.06,$161.92,$156.10
03/15/2023,$159.81,6100774,$157.91,$159.955,$155.93
03/14/2023,$163.91,5284046,$161.50,$164.32,$160.88
03/13/2023,$157.63,6123186,$161.485,$161.985,$157.42
03/10/2023,$165.70,5104317,$170.83,$170.83,$164.835
03/09/2023,$172.12,4349449,$179.595,$180.2674,$171.955
03/08/2023,$174.83,2101443,$175.83,$176.22,$173.57
03/07/2023,$175.32,2906585,$178.67,$178.90,$175.08
03/06/2023,$179.06,2730912,$178.56,$180.515,$178.46
03/03/2023,$179.09,2875671,$176.01,$179.39,$175.23
03/02/2023,$175.34,1795345,$174.04,$175.825,$172.66
03/01/2023,$175.91,2566454,$173.51,$177.20,$173.01
02/28/2023,$173.99,2301391,$174.01,$175.335,$173.58
02/27/2023,$173.30,1909122,$175.53,$175.69,$173.08
02/24/2023,$174.25,1667412,$173.69,$174.94,$172.19
02/23/2023,$175.14,2575312,$175.24,$176.60,$172.855
02/22/2023,$174.70,2468774,$173.56,$176.0229,$172.93
