Date,Close/Last,Volume,Open,High,Low
04/14/2023,$64.1699,242,$64.1699,$64.1699,$64.1699
04/13/2023,$65.07,N/A,$65.07,$65.07,$65.07
04/12/2023,$65.07,2629,$64.95,$65.07,$64.95
04/11/2023,$64.0999,3426,$64.0999,$64.0999,$64.0999
04/10/2023,$65.56,490,$65.56,$65.56,$65.56
04/06/2023,$65.66,N/A,$65.66,$65.66,$65.66
04/05/2023,$65.66,474,$65.66,$65.66,$65.66
04/04/2023,$64.75,3076,$63.9001,$64.75,$63.9001
04/03/2023,$63.40,1503,$62.99,$63.40,$62.86
03/31/2023,$62.11,N/A,$62.11,$62.11,$62.11
03/30/2023,$62.11,270,$62.11,$62.11,$62.11
03/29/2023,$61.58,1720,$61.58,$61.58,$61.58
03/28/2023,$60.85,N/A,$60.85,$60.85,$60.85
03/27/2023,$60.85,N/A,$60.85,$60.85,$60.85
03/24/2023,$60.85,3979,$60.85,$60.85,$60.85
03/23/2023,$60.34,588,$60.34,$60.34,$60.34
03/22/2023,$60.90,412,$60.90,$60.90,$60.90
03/21/2023,$60.00,10961,$59.39,$60.00,$59.39
03/20/2023,$58.7125,N/A,$58.7125,$58.7125,$58.7125
03/17/2023,$58.7125,N/A,$58.7125,$58.7125,$58.7125
03/16/2023,$58.7125,549,$58.7125,$58.7125,$58.7125
03/15/2023,$57.18,744,$57.18,$57.18,$57.18
03/14/2023,$58.87,2838,$58.35,$58.87,$58.35
03/13/2023,$57.7499,634,$57.7499,$57.7499,$57.7499
03/10/2023,$58.66,636,$58.66,$58.66,$58.66
03/09/2023,$57.89,490,$57.89,$57.89,$57.89
03/08/2023,$57.2699,793,$57.2699,$57.2699,$57.2699
03/07/2023,$57.44,N/A,$57.44,$57.44,$57.44
03/06/2023,$57.44,514,$57.44,$57.44,$57.44
03/03/2023,$57.47,2154,$57.47,$57.47,$57.47
03/02/2023,$56.17,2019,$56.57,$56.80,$56.17
03/01/2023,$56.66,4360,$56.69,$56.69,$56.56
02/28/2023,$56.20,1428,$56.30,$56.30,$56.20
02/27/2023,$57.03,457,$57.00,$57.03,$57.00
02/24/2023,$56.78,5164,$56.78,$56.78,$56.78
02/23/2023,$57.44,4300,$56.8499,$57.44,$56.60
02/22/2023,$58.2492,47018,$58.30,$58.30,$57.60
02/21/2023,$55.46,1875,$55.43,$56.29,$55.33
02/17/2023,$55.04,2330,$55.28,$56.49,$55.04
02/16/2023,$56.02,1213,$55.41,$56.02,$54.83
02/15/2023,$55.5517,35733,$56.09,$56.09,$55.5517
02/14/2023,$54.3399,2737,$54.09,$54.62,$54.09
02/13/2023,$53.70,2165,$53.70,$53.70,$53.70
02/10/2023,$54.55,1811,$54.40,$54.55,$54.40
02/09/2023,$54.58,491,$54.64,$54.64,$54.58
02/08/2023,$53.48,394,$53.48,$53.48,$53.48
02/07/2023,$54.42,3776,$54.42,$54.42,$54.42
02/06/2023,$53.12,191761,$54.55,$54.55,$53.12
02/03/2023,$55.80,7325,$55.80,$55.80,$55.80
02/02/2023,$54.85,1472,$54.90,$55.68,$54.85
02/01/2023,$55.84,2151,$55.00,$55.84,$54.95
01/31/2023,$53.97,N/A,$53.97,$53.97,$53.97
01/30/2023,$53.97,7148,$54.30,$54.81,$53.97
01/27/2023,$53.55,1507,$53.98,$53.98,$53.55
01/26/2023,$53.46,1357,$53.98,$53.98,$53.36
01/25/2023,$54.74,2192,$54.15,$54.74,$54.15
01/24/2023,$54.89,6603,$54.89,$54.89,$54.89
01/23/2023,$54.90,4528,$54.85,$54.99,$54.85
01/20/2023,$54.25,12873,$54.82,$54.90,$54.25
01/19/2023,$54.60,2102,$54.56,$54.60,$54.56
01/18/2023,$53.69,3632,$54.65,$54.65,$53.69
01/17/2023,$54.53,21018,$54.32,$54.53,$53.70
01/13/2023,$54.16,3422,$54.16,$54.16,$54.16
01/12/2023,$53.00,9108,$53.75,$53.75,$53.00
01/11/2023,$52.9499,N/A,$52.9499,$52.9499,$52.9499
01/10/2023,$52.9499,954,$53.50,$53.50,$52.9499
01/09/2023,$53.07,9159,$52.892,$53.07,$52.892
01/06/2023,$53.55,4668,$52.47,$53.55,$52.47
01/05/2023,$53.65,2230,$53.65,$53.65,$53.65
01/04/2023,$53.20,1691,$53.91,$53.91,$53.20
01/03/2023,$53.15,4769,$52.79,$53.288,$52.79
12/30/2022,$52.99,1146,$53.15,$53.15,$52.99
12/29/2022,$52.99,8469,$52.63,$52.99,$52.63
12/28/2022,$53.30,2707,$51.95,$53.30,$51.95
12/27/2022,$52.1999,5021,$52.35,$53.25,$51.726
12/23/2022,$52.35,4381,$53.20,$53.20,$52.2999
12/22/2022,$51.75,1844,$52.1499,$53.10,$51.75
12/21/2022,$51.6999,3322,$51.8499,$52.70,$51.6999
12/20/2022,$50.8999,2439,$51.50,$51.50,$50.8999
12/19/2022,$52.40,10436,$52.10,$53.02,$52.10
12/16/2022,$51.05,3497,$51.55,$51.55,$51.05
12/15/2022,$51.2199,6599,$51.77,$52.20,$50.97
12/14/2022,$52.49,9149,$52.5199,$53.32,$52.44
12/13/2022,$52.6599,5260,$53.10,$53.21,$52.6599
12/12/2022,$52.1099,5940,$52.2299,$52.70,$52.1099
12/09/2022,$52.3999,4866,$52.0499,$52.95,$52.0499
12/08/2022,$52.1899,2056,$52.56,$52.56,$51.9499
12/07/2022,$52.10,4100,$52.2499,$52.2499,$52.10
12/06/2022,$52.40,5805,$52.60,$53.75,$52.40
12/05/2022,$52.60,28238,$52.65,$53.718,$52.60
12/02/2022,$53.05,3533,$52.90,$54.10,$52.85
12/01/2022,$53.40,38696,$52.80,$53.75,$52.3999
11/30/2022,$51.4399,1900,$51.75,$51.75,$51.2899
11/29/2022,$52.25,2917,$51.75,$52.45,$51.63
11/28/2022,$51.8299,3133,$52.2699,$52.95,$51.8299
11/25/2022,$52.70,2282,$52.1499,$52.81,$52.1499
11/23/2022,$52.32,5242,$52.03,$52.85,$52.03
11/22/2022,$51.95,57703,$51.75,$51.95,$51.75
